RMS,Db,D,Nf,lmax
0,0.987091040527018,0.986833201872542,16876.1487061109,19216.559542201
0.00502020202020202,1.0708201706931,1.07044424955222,19084.5663292972,9976.48004218095
0.010040404040404,1.15124353488174,1.1507058474921,21384.7138760377,5794.25611989722
0.0150606060606061,1.22848686864037,1.22773173015099,23777.7926730425,3668.05882727878
0.0200808080808081,1.30267590751644,1.30163369846034,26264.4188470244,2484.54525854224
0.0251010101010101,1.37393638705739,1.37252166249103,28844.5397343547,1776.39559233307
0.0301212121212121,1.44239404281065,1.44050379639062,31517.3716180357,1327.09030578029
0.0351414141414141,1.50817461032366,1.50568924794609,34281.9391508521,1027.90525865577
0.0401616161616162,1.57140382514387,1.56822681819278,37146.7687767546,820.481754231221
0.0451818181818182,1.63220742281871,1.62847220779889,40175.9255042856,671.689941056603
0.0502020202020202,1.69071113889562,1.68718480929737,43557.0456826918,561.804508669239
0.0552222222222222,1.74704070892204,1.74537720274946,47593.2358719298,478.588628116478
0.0602424242424242,1.8013218684454,1.80383478890467,52599.0296171847,414.180497750722
0.0652626262626263,1.85368035301316,1.86276792607304,58791.7150688004,363.361018832203
0.0702828282828283,1.90424189817274,1.92182232522327,66247.2325844425,322.584756709741
0.0753030303030303,1.95313223947159,1.98032567183311,74896.179904385,289.363305349312
0.0803232323232323,2.00047711245714,2.03753882963125,84554.7201064393,261.927491849617
0.0853434343434343,2.04640225267684,2.09282847957869,94957.1133748624,238.986495333766
0.0903636363636364,2.09103339567812,2.14573120726941,105796.995655094,219.590516654961
0.0953838383838384,2.13449627700843,2.19595244606393,116766.16339383,203.035218615263
0.10040404040404,2.17691663221519,2.24340710424789,127550.230688518,188.73842954556
0.105424242424242,2.21842019684586,2.2880299137896,137924.517986763,176.326436088544
0.110444444444444,2.25913270644786,2.32995228800635,147652.237572899,165.425853828768
0.115464646464646,2.29917989656865,2.36930242521793,156574.244948698,155.779551742794
0.120484848484848,2.33868750275565,2.40616454652098,164646.48466662,147.229520894713
0.125505050505051,2.37778126055631,2.44080349764821,171732.882749975,139.54859969334
0.130525252525253,2.41658690551806,2.47340648307852,177780.233591115,132.596365842928
0.135545454545455,2.45523017318835,2.50408034319579,182854.447838604,126.302636981531
0.140565656565657,2.49383679911462,2.53293963256079,187057.005420836,120.605141029299
0.145585858585859,2.53253251884429,2.56022943564431,190299.784644977,115.370765135369
0.150606060606061,2.57144306792482,2.58611336728331,192562.353373121,110.520159379569
0.155626262626263,2.61069418190364,2.61069865755607,193893.31848545,106.009306402283
0.160646464646465,2.6504115963282,2.6340623175588,194390.977040462,101.812756284102
